1175451,468532,1849
1195484,411666,1465
1195484,415204,1644
1226105,380134,1764
1226105,445038,772
1238924,393090,1620
1238924,396416,766
1294573,448850,1600
1294573,451315,662
1294573,452208,748
1318821,472829,1727
1366802,423854,1916
1366802,523469,860
1366802,524411,1568
1390929,448402,1482
1390929,452869,1279
1473249,530517,1629
1473249,533080,911
1488846,514236,1311
1488846,549465,1639
1537860,563130,1618
1537860,565900,609
1537860,566794,1899
1597451,623009,1329
1659143,560633,1259
1659143,686624,885
1659143,687749,1821
1693092,594748,1199
1693092,597580,886
1780301,681809,1543
1780301,684358,640
1806874,654377,1669
1806874,713002,1627
1827904,675682,1204
1827904,677571,692
1827904,679906,1904
1885424,733008,1536
1944441,791914,1605
1944441,794293,707
1944441,795578,515
1962246,773276,1680
1962246,813859,869
2049350,860700,1022
2049350,863147,813
2135790,946681,1566
2135790,950056,1872
2193767,888071,1138
2193767,1007549,654
2193767,1009436,705
2285121,979081,1785
2366449,1060871,1496
2366449,1062493,864
2366449,1065357,1925
2431424,1125471,1857
2431424,1128660,1056
2442933,1113426,1233
2442933,1139416,779
2509254,1179653,1218
2509254,1182944,1538
2536326,1206585,1541
2536326,1208697,780
2536326,1210657,1570
2574462,1244988,1261
2668443,1150256,1640
2668443,1341139,765
2668443,1342193,1927
2688704,1170645,1222
2688704,1173835,698
2699132,1180930,1273
2699132,1183208,691
2753832,1125609,1412
2753832,1238790,1174
2786189,1157798,1714
2786189,1160405,623
2786189,1162043,1256
2829748,1113603,1546
2896580,1180422,1358
2896580,1182189,521
2896580,1183816,1127
2996488,1079919,1468
2996488,1284130,886
3058110,1018060,1638
3058110,1143467,527
3138900,1098892,1377
3138900,1102819,1291
3181432,1055364,1768
3181432,1143238,866
3181432,1146137,1245
3237381,1111716,1377
3309093,1183260,1575
3309093,1185895,934
3309093,1186273,1829
3344277,1147515,1106
3344277,1222428,1481
3437964,1053471,1847
3437964,1243470,890
3470649,1086283,1423
3470649,1090099,1046
3495332,1111067,1271
3495332,1113754,761
3495332,1115635,977
3583029,1022379,1937
3679111,1118822,1204
3679111,1121027,720
3679111,1122490,1261
3742437,1181788,1585
3742437,1186324,1411
3798691,1125022,1197
3798691,1240634,823
3841595,1167719,1354
3841595,1172389,694
3914610,1240484,1605
3914610,1243335,954
3914610,1245143,1561
3957156,1197075,1733
4050261,1103878,1875
4050261,1292923,834
4050261,1294730,1149
4143439,1010879,1677
4143439,1201837,543
4236679,1104222,1672
4236679,1106548,734
4248952,1091324,1143
4248952,1121166,569
4290275,1132752,1353
4290275,1134362,842
4290275,1136145,944
4318561,1160793,1467
4371058,1107528,1644
4371058,1216022,923
4371058,1217916,657
4466446,1203123,1176
4466446,1207613,1329
4536637,1273173,1522
4536637,1274936,734
4579704,1316412,1104
4579704,1320120,1377
4660641,1234574,1441
4660641,1399527,809
4660641,1400695,1799
4681594,1255556,1790
4763751,1337893,1353
4763751,1340110,631
4763751,1340985,592
4777549,1323131,1777
4777549,1355933,1126
4788096,1312754,1672
4788096,1336388,958
4812648,1288403,1110
4812648,1341931,1868
4910190,1385719,1365
4910190,1387770,907
4910190,1389077,1512
4971181,1446819,1520
5070271,1545772,1681
5070271,1547713,756
5070271,1549524,1193
5085213,1529932,1452
5085213,1564504,1779
5097397,1542217,1341
5097397,1544843,889
5149283,1594214,1674
5149283,1598085,706
5245699,1497213,1297
5245699,1692848,887
5245699,1694684,676
5344250,1398345,1878
5371807,1426197,1543
5371807,1428459,627
5371807,1430648,1462
5393527,1403838,1281
5393527,1451357,578
5410569,1386753,1644
5410569,1422652,850
5436749,1412789,1695
5436749,1415887,1189
5458797,1434798,1663
5458797,1436969,520
5458797,1438433,1158
5542657,1518971,1459
5627451,1433652,1189
5627451,1606212,780
5627451,1606718,1304
5692126,1368871,1354
5692126,1501918,1905
5736025,1324748,1805
5736025,1415224,828
5810330,1399118,1567
5810330,1403418,1731
5840713,1368132,1316
5840713,1432011,889
5840713,1433442,1068
5904432,1304465,1481
5998884,1209971,1399
5998884,1400563,628
5998884,1403074,1972
6047846,1258574,1453
6047846,1262848,1997
6114575,1325530,1570
6114575,1327776,754
6144942,1294488,1199
6144942,1360473,1059
6235972,1385591,1436
6235972,1387834,810
6235972,1389423,1761
6302637,1452333,1490
6314572,1464063,1715
6314572,1466762,991
6314572,1468448,1532
6382027,1395623,1591
6382027,1534572,1961
6430169,1443916,1479
6430169,1446082,629
6517949,1531863,1238
6517949,1535475,540
6581728,1467284,1380
6581728,1597509,838
6581728,1600083,1154
6658312,1543673,1836
6683485,1569139,1289
6683485,1571509,639
6683485,1572343,1552
6774188,1659825,1299
6774188,1662902,719
6789587,1643787,1344
6789587,1676997,936
6870380,1724359,1418
6870380,1727566,1261
6968046,1822264,1550
6968046,1824252,967
6968046,1826472,550
7015252,1774437,1503
7046998,1805884,1736
7046998,1808294,531
7046998,1809419,1025
7071563,1830672,1356
7071563,1834658,1412
7144049,1902896,1690
7144049,1905308,611
7208688,1837365,1557
7208688,1971055,1427
7224276,1821756,1575
7224276,1855384,989
7224276,1857828,1338
7323015,1723231,1463
7396011,1795987,1680
7396011,1798100,698
7396011,1799788,1669
7470338,1720755,1566
7470338,1875215,799
7484037,1734509,1434
7484037,1737330,825
7565417,1816060,1544
7565417,1819119,926
7601674,1852393,1598
7601674,1854444,809
7601674,1856461,1647
7678478,1773590,2708
